split_landsatb_B1,split_landsatb_B2,split_landsatb_B3,split_landsatb_B4,split_landsatb_B5,split_landsatb_B6,split_landsatb_B7,split_landsatb_B8,HH_pknp,HV_pknp,RFDI2016,Ratio2016,class
0.115090598,0.093237872,0.068648461,0.277640043,0.132856937,0.053095224,303.0880934,300.8355743,7307,4842,0.389749765,0.439108014,6
0.111993186,0.089974739,0.06534177,0.272231644,0.132244832,0.053552453,303.0538077,301.0599696,7166,5077,0.331601977,0.501950324,6
0.115985117,0.09342467,0.071112093,0.249260394,0.126644444,0.052380653,302.9130465,300.8261093,7133,3767,0.563845277,0.278898895,6
0.114322117,0.091372415,0.069366253,0.25389799,0.134404719,0.057379998,303.3352514,301.0971209,7134,3948,0.531090558,0.30625844,6
0.119054963,0.095898183,0.075140976,0.244470799,0.136352972,0.058392053,303.7031065,300.9947027,5738,3821,0.385580748,0.443438083,6
0.120306183,0.09794928,0.077687318,0.247170034,0.141685742,0.060808332,303.8180227,301.0513057,5928,4270,0.316788286,0.518847048,6
0.117694202,0.095755646,0.075252807,0.245637971,0.137361561,0.059121001,303.3099783,300.7330135,7350,3517,0.627384961,0.228965506,6
0.114236825,0.092731415,0.068380831,0.278780854,0.13304793,0.053927924,303.1446602,301.1047655,6211,4997,0.214118883,0.647285163,6
0.113371272,0.091491386,0.067280164,0.280682481,0.136531116,0.054459385,303.3649981,301.1198273,7029,3656,0.574138641,0.270536125,6
0.120032173,0.0968397,0.075685468,0.257822899,0.133744163,0.055091014,303.580761,300.9769421,7780,4565,0.487776011,0.344288379,6
0.118329426,0.095105822,0.076919762,0.228539284,0.138027862,0.062556219,303.0588791,300.5167943,5996,4020,0.379786968,0.44949913,6
0.115245169,0.09219072,0.07246552,0.240176565,0.145382576,0.063611195,303.2417877,300.9697215,7471,4208,0.518321097,0.317244411,6
0.116069555,0.093374908,0.071491002,0.255002405,0.134507971,0.056755259,302.7594239,300.698344,6980,3681,0.564807236,0.27811268,6
0.115846121,0.095463975,0.071005884,0.294745957,0.142090949,0.057188819,303.5533884,301.2119932,5969,3824,0.418013453,0.410423875,6
0.11680981,0.096817498,0.075420348,0.279543182,0.152705739,0.065857571,303.6017159,301.2259286,6082,3428,0.51782012,0.317679197,6
